NrRegisto,DataRegisto,NomeAlojamento,Modalidade,NrCamas,NrUtentes,MoradaFornecida,CodPostal,Freguesia,RuaPadronizada,RuaMatch,LimpezaDados,Ano,Mes,NrPredio,Endereco,Latitude,Longitude
4552/AL,2013-07-03,D. Carlos 2,Apartamento,4.0,6,"Avenida Carlos I, 90",1200-650,Misericórdia,avenida carlos i,avenida dom carlos i,done,2013,7,90.0,"avenida dom carlos i, 90",38.708853,-9.1528653
45541/AL,2017-05-17,Palácio de Sant'Anna AL,Estabelecimento de hospedagem,8.0,10,"Rua do Instituto Bacteriológico , 8",1150-190,Arroios,rua do instituto bacteriológico,rua do instituto bacteriológico,done,2017,5,8.0,"rua do instituto bacteriológico, 8",38.7187556,-9.1384857
45548/AL,2017-05-17,Casa das Janelas,Apartamento,2.0,3,"Travessa dos Poiais, 8",1200-344,Misericórdia,travessa dos poiais,travessa dos poiais,done,2017,5,8.0,"travessa dos poiais, 8",38.710837,-9.1502832
4556/AL,2013-07-03,D. Carlos 3,Apartamento,4.0,6,"Avenida Carlos I, 90",1200-650,Misericórdia,avenida carlos i,avenida dom carlos i,done,2013,7,90.0,"avenida dom carlos i, 90",38.708853,-9.1528653
45564/AL,2017-05-17,Refúgio do Paço,Apartamento,1.0,2,"Rua Professor Alfredo de Sousa, 8",1600-188,Lumiar,rua professor alfredo de sousa,rua prof alfredo de sousa,done,2017,5,8.0,"rua prof alfredo de sousa, 8",38.7703784,-9.1712878
45565/AL,2017-05-17,Rooms Fado,Estabelecimento de hospedagem,19.0,29,"Rua António Pedro, 171",1000-038,Arroios,rua antónio pedro,rua antónio pedro,done,2017,5,171.0,"rua antónio pedro, 171",38.7335006,-9.1352253
45567/AL,2017-05-17,Casa do Chico,Apartamento,2.0,6,"Rua São Cristóvão, 36",1100-515,Santa Maria Maior,rua são cristóvão,rua de são cristóvão,done,2017,5,36.0,"rua de são cristóvão, 36",38.7132771,-9.1356565
45572/AL,2017-05-17,PA - ALOJAMENTO LOCAL,Apartamento,6.0,6,"Rua presidente arriaga, 64",1200-773,Estrela,rua presidente arriaga,rua presidente arriaga,done,2017,5,64.0,"rua presidente arriaga, 64",38.7045786,-9.1641287
45577/AL,2017-05-17,Go Native Lisbon,Apartamento,2.0,4,"Rua Mãe D'Água, 15",1250-154,Santo António,rua mãe d'água,rua da mãe dágua,manual,2017,5,15.0,"rua da mãe dágua, 15",38.717123,-9.1466098
45578/AL,2017-05-17,Palácio de Sant'Anna AL,Estabelecimento de hospedagem,8.0,9,"Calçada de Santana, 212",1150-307,Arroios,calçada de santana,calçada de santana,done,2017,5,212.0,"calçada de santana, 212",38.71814699999999,-9.1391899
45583/AL,2017-05-17,CASA DOS LAGARES,Apartamento,2.0,4,"Travessa Lagares, 18",1100-301,Santa Maria Maior,travessa lagares,travessa dos lagares,done,2017,5,18.0,"travessa dos lagares, 18",38.7165445,-9.1329145
4560/AL,2013-07-03,D. Carlos 4,Apartamento,4.0,6,"Avenida Carlos I, 90",1200-650,Misericórdia,avenida carlos i,avenida dom carlos i,done,2013,7,90.0,"avenida dom carlos i, 90",38.708853,-9.1528653
45602/AL,2017-05-18,Pátio do Henrique,Apartamento,2.0,4,"Beco Santa Helena, 3",1100-482,Santa Maria Maior,beco santa helena,beco de santa helena,done,2017,5,3.0,"beco de santa helena, 3",38.7117986,-9.1295623
4561/AL,2012-03-19,Placetostay-Student Housing Lda,Apartamento,6.0,6,"Rua Augusto Gil, 1",1000-062,Areeiro,rua augusto gil,rua augusto gil,done,2012,3,1.0,"rua augusto gil, 1",38.7425821,-9.140282
45612/AL,2017-05-18,Guarda Mor Studio,Apartamento,1.0,2,"Rua Guarda-Mor, 46",1200-682,Estrela,rua guarda-mor,rua do guardamor,manual,2017,5,46.0,"rua do guardamor, 46",38.7073845,-9.1577785
45648/AL,2017-05-18,Santa Catarina Doll's House,Apartamento,3.0,5,"Rua Fernandes Tomás, 63",1200-178,Misericórdia,rua fernandes tomás,rua fernandes tomás,done,2017,5,63.0,"rua fernandes tomás, 63",38.7093949,-9.1506961
45658/AL,2017-05-18,Correeiros 60,Apartamento,4.0,6,"Rua Correeiros, 60",1100-167,Santa Maria Maior,rua correeiros,rua dos correeiros,done,2017,5,60.0,"rua dos correeiros, 60",38.7105797,-9.1371623
45666/AL,2017-05-18,Nazareth 1,Apartamento,2.0,4,"Travessa Nazaré, 1",1100-368,São Vicente,travessa nazaré,travessa da nazaré,done,2017,5,1.0,"travessa da nazaré, 1",38.7183195,-9.1339895
45693/AL,2010-12-30,SWEET HOME,Apartamento,10.0,10,"Rua Correeiros, 161",1100-164,Santa Maria Maior,rua correeiros,rua dos correeiros,done,2010,12,161.0,"rua dos correeiros, 161",38.7120209,-9.1378601
45714/AL,2017-05-18,Inside Lisbon,Apartamento,2.0,4,"Rua Heróis de Quionga, 3",1170-178,Arroios,rua heróis de quionga,rua dos heróis de quionga,done,2017,5,3.0,"rua dos heróis de quionga, 3",38.7303271,-9.1331014
45721/AL,2017-05-18,Home Chic Castle House,Apartamento,1.0,2,"Rua Santa Cruz do Castelo, 68",1100-481,Santa Maria Maior,rua santa cruz do castelo,rua de santa cruz do castelo,done,2017,5,68.0,"rua de santa cruz do castelo, 68",38.7130626,-9.1326408
45728/AL,2008-11-07,"Sweethome - Hospedagem, SA",Apartamento,10.0,10,"Rua Correeiros, 161",1100-166,Santa Maria Maior,rua correeiros,rua dos correeiros,done,2008,11,161.0,"rua dos correeiros, 161",38.7120209,-9.1378601
45732/AL,2017-05-19,Thirty Home,Apartamento,3.0,4,"1ª Rua  Paço da Rainha, 30",1150-246,Arroios,rua  paço da rainha,paço da rainha,done,2017,5,30.0,"paço da rainha, 30",38.7227055,-9.1384749
45737/AL,2017-05-19,Studio Alfama,Moradia,2.0,4,"Calçada São Vicente, 31",1100-567,Santa Maria Maior,calçada são vicente,calçada de são vicente,done,2017,5,31.0,"calçada de são vicente, 31",38.7134419,-9.1279327
45751/AL,2017-05-19,Lisbon Downtown Apartment,Apartamento,2.0,4,"Rua Poço dos Negros, 150",1200-342,Misericórdia,rua poço dos negros,rua do poço dos negros,done,2017,5,150.0,"rua do poço dos negros, 150",38.7098192,-9.1521932
45754/AL,2017-05-19,Linhas e Parcelas SA,Apartamento,4.0,6,"Rua da Graça, 2E 3",1170-169,São Vicente,rua da graça,rua da graça,done,2017,5,3.0,"rua da graça, 3",38.7213641,-9.1297749
45766/AL,2017-05-19,Varanda da Saudade,Apartamento,4.0,5,"Rua Conceição da Glória, 29",1250-079,Santo António,rua conceição da glória,rua da conceição da glória,done,2017,5,29.0,"rua da conceição da glória, 29",38.7173803,-9.144659
45782/AL,2017-05-19,TTL314,Apartamento,2.0,4,"Praça dos Restauradores, 72",1250-187,Santa Maria Maior,praça dos restauradores,praça dos restauradores,done,2017,5,72.0,"praça dos restauradores, 72",38.7157831,-9.1410938
